"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XERS","Xeris Pharmaceuticals, Inc.","8.93","$241.07M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/xers",
"XENE","Xenon Pharmaceuticals Inc.","11.83","$306.03M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/xene",
"XBIOW","Xenetic Biosciences, Inc.","1.09","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/xbiow",
"XBIO","Xenetic Biosciences, Inc.","1.23","$6.93M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/xbio",
"XNCR","Xencor, Inc.","39.4","$2.23B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/xncr",
"XEL","Xcel Energy Inc.","61.49","$32.24B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/xel",
"XELB","Xcel Brands, Inc","1.45","$27.52M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/xelb",
"XBIT","XBiotech Inc.","11.49","$471.22M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/xbit",
"XFOR","X4 Pharmaceuticals, Inc.","10.63","$132.41M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xfor",
"WYNN","Wynn Resorts, Limited","120.85","$12.97B","2002","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/wynn",
"WW","WW International, Inc. ","43.29","$2.91B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/ww",
"WVFC","WVS Financial Corp.","16.0107","$31.11M","n/a","Finance","Banks","https://old.nasdaq.com/symbol/wvfc",
"WSFS","WSFS Financial Corporation","44.59","$2.33B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/wsfs",
"WMGI","Wright Medical Group N.V.","29.77","$3.78B","2011","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/wmgi",
"WRTC","Wrap Technologies, Inc.","4.57","$135.59M","n/a","Capital Goods","Ordnance And Accessories","https://old.nasdaq.com/symbol/wrtc",
"WRLD","World Acceptance Corporation","94.99","$751.87M","1991","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/wrld",
"WKHS","Workhorse Group, Inc.","2.75","$183.86M","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/wkhs",
"WDAY","Workday, Inc.","179.12","$40.84B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/wday",
"WWD","Woodward, Inc.","116.79","$7.22B","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/wwd",
"WIX","Wix.com Ltd.","120.89","$6.18B","2013","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/wix",
"DGRS","WisdomTree U.S. SmallCap Quality Dividend Growth Fund","37.5","$129.38M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dgrs",
"DGRW","WisdomTree U.S. Quality Dividend Growth Fund","47.58","$3.19B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dgrw",
"HYND","WisdomTree Negative Duration High Yield Bond Fund","18.455","$23.99M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hynd",
"GULF","WisdomTree Middle East Dividend Fund","19.35","$19.35M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gulf",
"DXJS","WisdomTree Japan Hedged SmallCap Equity Fund","42.8052","$59.93M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dxjs",
"WETF","WisdomTree Investments, Inc.","4.86","$754.33M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/wetf",
"AGZD","WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund","47.95","$86.31M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agzd",
"HYZD","WisdomTree Interest Rate Hedged High Yield Bond Fund","22.93","$236.18M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hyzd",
"DXGE","WisdomTree Germany Hedged Equity Fund","32.09","$44.93M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dxge",
"DGRE","WisdomTree Emerging Markets Quality Dividend Growth Fund","24.2352","$67.86M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dgre",
"EMCB","WisdomTree Emerging Markets Corporate Bond Fund","73.23","$36.62M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/emcb",
"EMCG","WisdomTree Emerging Markets Consumer Growth Fund","22.0552","$34.19M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/emcg",
"WCLD","WisdomTree Cloud Computing Fund","26.521","$13.26M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wcld",
"CXSE","WisdomTree China ex-State-Owned Enterprises Fund","77.2073","$129.32M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cxse",
"AGND","WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund","41.185","$20.59M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/agnd",
"WTFCM","Wintrust Financial Corporation","28.64","$143.2M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/wtfcm",
"WTFC","Wintrust Financial Corporation","67.91","$3.88B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/wtfc",
"WINS","Wins Finance Holdings Inc.","11.24","$222.98M","2014","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/wins",
"WINA","Winmark Corporation","177","$678.06M","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/wina",
"WING","Wingstop Inc.","80","$2.36B","2015","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/wing",
"WSC","WillScot Corporation","17.76","$2.07B","2015","n/a","n/a","https://old.nasdaq.com/symbol/wsc",
"WLTW","Willis Towers Watson Public Limited Company","196.44","$25.26B","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/wltw",
"WLFC","Willis Lease Finance Corporation","60","$350.97M","1996","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/wlfc",
"WLDN","Willdan Group, Inc.","28.51","$322.63M","2006","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/wldn",
"WVVIP","Willamette Valley Vineyards, Inc.","4.7883","$22.33M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/wvvip",
"WVVI","Willamette Valley Vineyards, Inc.","7.05","$35M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/wvvi",
"WHLM","Wilhelmina International, Inc.","4.25","$22M","n/a","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/whlm",
"WHFBZ","WhiteHorse Finance, Inc.","25.9626","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/whfbz",
"WHF","WhiteHorse Finance, Inc.","14.34","$294.63M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/whf",
"WHLRP","Wheeler Real Estate Investment Trust, Inc.","11.65","$8.39M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/whlrp",
"WHLRD","Wheeler Real Estate Investment Trust, Inc.","15.85","$57.07M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/whlrd",
"WHLR","Wheeler Real Estate Investment Trust, Inc.","1.89","$18.32M","2012","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/whlr",
"WEYS","Weyco Group, Inc.","24.55","$242.75M","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/weys",
"WWR","Westwater Resources, Inc.","2.59","$7.46M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/wwr",
"WPRT","Westport Fuel Systems Inc","2.44","$325.45M","n/a","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/wprt",
"WNEB","Western New England Bancorp, Inc.","9.81","$260.57M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/wneb",
"WDC","Western Digital Corporation","50.33","$14.96B","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/wdc",
"WBND","Western Asset Total Return ETF","27.375","$104.03M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wbnd",
"WINC","Western Asset Short Duration Income ETF","25.735","$25.74M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/winc",
"WSTL","Westell Technologies, Inc.","1.04","$16.18M","1995","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/wstl",
"WABC","Westamerica Bancorporation","65","$1.76B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/wabc",
"WTBA","West Bancorporation","24.28","$397.7M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/wtba",
"WSBC","WesBanco, Inc.","36.48","$2B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/wsbc",
"WERN","Werner Enterprises, Inc.","36.76","$2.54B","1986","Transportation","Trucking Freight/Courier Services","https://old.nasdaq.com/symbol/wern",
"WEN","Wendy&#39;s Company (The)","21.44","$4.94B","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/wen",
"WEBK","Wellesley Bancorp, Inc.","32.7282","$84.11M","2012","Finance","Banks","https://old.nasdaq.com/symbol/webk",
"WB","Weibo Corporation","42.81","$9.63B","2014","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/wb",
"HHHHW","Wealthbridge Acquisition Limited","0.11","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hhhhw",
"HHHHU","Wealthbridge Acquisition Limited","10.5144","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hhhhu",
"HHHHR","Wealthbridge Acquisition Limited","0.3343","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hhhhr",
"HHHH","Wealthbridge Acquisition Limited","10.13","$75.54M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/hhhh",
"WDFC","WD-40 Company","193.11","$2.65B","1973","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/wdfc",
"WSTG","Wayside Technology Group, Inc.","14.44","$65.08M","n/a","Technology","Retail: Computer Software & Peripheral Equipment","https://old.nasdaq.com/symbol/wstg",
"WNFM","Wayne Farms, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wnfm",
"WVE","WAVE Life Sciences Ltd.","33.15","$1.14B","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/wve",
"WTREP","Watford Holdings Ltd.","25.5","$231.16M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/wtrep",
"WTRE","Watford Holdings Ltd.","27.05","$579.46M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wtre",
"WSBF","Waterstone Financial, Inc.","18.87","$512.29M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/wsbf",
"WASH","Washington Trust Bancorp, Inc.","52.19","$905.53M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/wash",
"WAFD","Washington Federal, Inc.","36.81","$2.9B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/wafd",
"WSG","Wanda Sports Group Company Limited","3.1","$423.73M","2019","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wsg",
"WBA","Walgreens Boots Alliance, Inc.","59.6","$53.2B","n/a","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/wba",
"WTRH","Waitr Holdings Inc.","0.38","$29.14M","2016","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/wtrh",
"HLAL","Wahed FTSE USA Shariah ETF","26.51","$21.21M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hlal",
"WAFU","Wah Fu Education Group Limited","1.98","$8.67M","2019","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/wafu",
"VUZI","Vuzix Corporation","2.44","$80.83M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/vuzi",
"VTVT","vTv Therapeutics Inc.","1.49","$89.26M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/vtvt",
"VSEC","VSE Corporation","40.79","$447.47M","n/a","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/vsec",
"VYGR","Voyager Therapeutics, Inc.","13.64","$505.68M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/vygr",
"VOXX","VOXX International Corporation","4.64","$112.25M","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/voxx",
"VOD","Vodafone Group Plc","19.82","$53.06B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/vod",
"VVUS","VIVUS, Inc.","2.78","$29.59M","1994","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/vvus",
"VVPR","VivoPower International PLC","1.0811","$14.66M","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/vvpr",
"VIVE","Viveve Medical, Inc.","0.8441","$1.24M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/vive",
"VC","Visteon Corporation","93.53","$2.62B","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/vc",
"VTGN","VistaGen Therapeutics, Inc.","0.48","$20.75M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/vtgn",
"VISL","Vislink Technologies, Inc.","0.27","$3.9M","2013","Capital Goods","Telecommunications Equipment","https://old.nasdaq.com/symbol/visl",
"VRTU","Virtusa Corporation","44.69","$1.33B","2007","Technology","EDP Services","https://old.nasdaq.com/symbol/vrtu",
"BBP","Virtus LifeSci Biotech Products ETF","44.1163","$44.12M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bbp",
"BBC","Virtus LifeSci Biotech Clinical Trials ETF","32.1905","$32.19M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bbc",
"VRTSP","Virtus Investment Partners, Inc.","99.11","$113.98M","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/vrtsp",
"VRTS","Virtus Investment Partners, Inc.","117.8","$810.23M","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/vrts",
"VIRT","Virtu Financial, Inc.","16.6","$3.17B","2015","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/virt",
"VTSI","VirTra, Inc.","3.76","$29.12M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/vtsi",
"VTUS","Virgin Trains USA Inc.","n/a","n/a","2010","n/a","n/a","https://old.nasdaq.com/symbol/vtus",
"VIRC","Virco Manufacturing Corporation","3.9","$61.28M","n/a","Consumer Durables","Industrial Specialties","https://old.nasdaq.com/symbol/virc",
"VIR","Vir Biotechnology, Inc.","11.95","$1.31B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/vir",
"VNOM","Viper Energy Partners LP","23.72","$3.64B","2014","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/vnom",
"VIOT","Viomi Technology Co., Ltd","8.88","$615.09M","2018","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/viot",
"VLGEA","Village Super Market, Inc.","28.28","$406.78M","n/a","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/vlgea",
"VFF","Village Farms International, Inc.","6.62","$346.88M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/vff",
"VBFC","Village Bank and Trust Financial Corp.","35.1","$51M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/vbfc",
"VKTXW","Viking Therapeutics, Inc.","5.93","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/vktxw",
"VKTX","Viking Therapeutics, Inc.","7.32","$528.97M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/vktx",
"VRAY","ViewRay, Inc.","3.32","$326.95M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/vray",
"VMD","Viemed Healthcare, Inc.","6.1797","$234.54M","n/a","Health Care","Misc Health and Biotechnology Services","https://old.nasdaq.com/symbol/vmd",
"VIE","Viela Bio, Inc.","30.96","$1.57B","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/vie",
"CSA","VictoryShares US Small Cap Volatility Wtd ETF","48.5557","$26.71M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/csa",
"CSB","VictoryShares US Small Cap High Div Volatility Wtd ETF","46.3597","$99.67M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/csb",
"VSMV","VictoryShares US Multi-Factor Minimum Volatility ETF","32.83","$162.51M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/vsmv",
"CDL","VictoryShares US Large Cap High Div Volatility Wtd ETF","49.5","$356.4M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cdl",
"CDC","VictoryShares US EQ Income Enhanced Volatility Wtd ETF","47.8997","$672.99M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cdc",
"CSF","VictoryShares US Discovery Enhanced Volatility Wtd ETF","38.7711","$58.16M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/csf",
"CFA","VictoryShares US 500 Volatility Wtd ETF","55.3912","$814.25M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cfa",
"CFO","VictoryShares US 500 Enhanced Volatility Wtd ETF","51.606","$725.06M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cfo",
"CIL","VictoryShares International Volatility Wtd ETF","39.0541","$87.87M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cil",
"CID","VictoryShares International High Div Volatility Wtd ETF","32.8311","$85.36M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cid",
"CEZ","VictoryShares Emerging Market Volatility Wtd ETF","25.15","$45.27M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cez",
"CEY","VictoryShares Emerging Market High Div Volatility Wtd ETF","22.8651","$43.44M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cey",
"VSDA","VictoryShares Dividend Accelerator ETF","35.37","$160.93M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/vsda",
"CIZ","VictoryShares Developed Enhanced Volatility Wtd ETF","32.58","$91.22M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ciz",
"VCTR","Victory Capital Holdings, Inc.","20.6","$1.39B","2018","Finance","Investment Managers","https://old.nasdaq.com/symbol/vctr",
"VICR","Vicor Corporation","41.07","$1.66B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/vicr",
"VIAV","Viavi Solutions Inc.","15.02","$3.46B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/viav",
"VSAT","ViaSat, Inc.","73.5","$4.51B","1996","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/vsat",
"VIAB","Viacom Inc.","24.07","$9.71B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/viab",
"VIA","Viacom Inc.","26.12","$10.54B","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/via",
"VERU","Veru Inc.","2.12","$137.88M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/veru",
"VRTX","Vertex Pharmaceuticals Incorporated","221.75","$57.02B","1991","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/vrtx",
"VTNR","Vertex Energy, Inc","1.63","$68.21M","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/vtnr",
"VRCA","Verrica Pharmaceuticals Inc.","15.07","$388.43M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/vrca",
"VRRM","Verra Mobility Corporation","14.97","$2.37B","2017","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/vrrm",
"VRNA","Verona Pharma plc","4.1","$53.98M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/vrna",
"VRML","Vermillion, Inc.","0.785","$76.29M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/vrml",
"VERI","Veritone, Inc.","3.02","$67.11M","2017","Technology","EDP Services","https://old.nasdaq.com/symbol/veri",
"VBTX","Veritex Holdings, Inc.","26.01","$1.35B","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/vbtx",
"VRSK","Verisk Analytics, Inc.","147.48","$24.17B","2009","Technology","EDP Services","https://old.nasdaq.com/symbol/vrsk",
"VRSN","VeriSign, Inc.","190.74","$22.39B","1998","Technology","EDP Services","https://old.nasdaq.com/symbol/vrsn",
"VRNT","Verint Systems Inc.","48.61","$3.25B","2002","Technology","EDP Services","https://old.nasdaq.com/symbol/vrnt",
"VERY","Vericity, Inc.","19.4","$390.43M","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/very",
"VCEL","Vericel Corporation","18.66","$834M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/vcel",
"VERBW","Verb Technology Company, Inc.","0.3113","n/a","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/verbw",
"VERB","Verb Technology Company, Inc.","0.895","$20.82M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/verb",
"VSTM","Verastem, Inc.","1.37","$101.86M","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/vstm",
"VCYT","Veracyte, Inc.","28.72","$1.4B","2013","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/vcyt",
"VRA","Vera Bradley, Inc.","11.04","$375.23M","2010","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/vra",
"VEON","VEON Ltd.","2.64","$4.62B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/veon",
"VERO","Venus Concept Inc. ","3.2","$94.94M","2017","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/vero",
